,Currency Pair 1,Currency Pair 2,alpha,r-squared,Treynor Ratio,Info Ratio
82,TWDUSD=X,DKKUSD=X,0.03624299104200629,0.48496686101376396,0.04435146501429738,6.611710383014553
52,TWDUSD=X,AUDUSD=X,0.035004485425863874,0.6236414819541818,0.03539527343707763,1.4480711238017145
153,LKRUSD=X,TWDUSD=X,0.03139262713295953,0.1345296895003656,0.0682866869644657,21.433242399194057
17,TWDUSD=X,CNYUSD=X,0.030569087813928655,0.7763705785703667,0.04244690749960536,10.437381179290453
160,BRLUSD=X,THBUSD=X,0.025775189562040578,0.11696384381127778,1.30887636603121,14.699942076708101
84,JPYUSD=X,ZARUSD=X,0.024942287964264565,0.47706546862880705,0.014085267419090514,5.467179808129235
21,LKRUSD=X,THBUSD=X,0.024304437725070543,0.7615529828355395,0.022034880571577185,26.671994207111588
152,THBUSD=X,TWDUSD=X,0.024117411208416942,0.13559863273297645,0.10822411773277656,16.477443538252608
225,CHFUSD=X,INRUSD=X,0.022341366342892688,0.24664013483089353,-1.5432232607082763,33.78255198079794
105,KRWUSD=X,TWDUSD=X,0.019000288619240427,0.360206122613704,0.001899382680752574,15.088880694183906
169,CNYUSD=X,THBUSD=X,0.018475360053477788,0.07483389382927019,0.37126947869334265,10.295130493906985
177,CADUSD=X,THBUSD=X,0.017211474057392713,0.061037374579759995,1.7408674769575647,9.518308364801202
219,MXNUSD=X,INRUSD=X,0.016766256015884568,0.12303275010752979,-0.18933890387970662,23.48512843722614
26,SEKUSD=X,NOKUSD=X,0.015999740052043687,0.7511052022668985,0.12351530346867069,3.5638976074542814
79,NOKUSD=X,THBUSD=X,0.01482520272352663,0.5017643569210751,0.20829736947111774,11.255093341351904
54,NZDUSD=X,TWDUSD=X,0.013362806677668527,0.6183946473828528,1.0848708087978511,13.739684415226149
214,CHFUSD=X,LKRUSD=X,0.012441802793168241,0.07825204880746783,-0.6103116496658184,11.0502053915516
12,LKRUSD=X,INRUSD=X,0.010584000111779913,0.8002346517360437,0.02274297628469801,31.079478358629096
58,GBPUSD=X,TWDUSD=X,0.010142091608335013,0.5964701288449861,1.8380241806857716,10.140887986673668
125,BRLUSD=X,INRUSD=X,0.010067066332301745,0.29912743656055496,0.8653803595202364,15.773640346419747
166,TWDUSD=X,INRUSD=X,0.00825285058395069,0.09295873043328118,0.08952037177349952,11.366820251128356
85,SEKUSD=X,INRUSD=X,0.007087776863813634,0.47156413404604647,0.22663913961667198,12.796696123065944
183,BRLUSD=X,JPYUSD=X,0.00701189380648079,0.04071585034385827,1.1786652561988402,7.335742444593982
140,AUDUSD=X,INRUSD=X,0.006864655330383109,0.22058302490836068,1.4554456360042294,10.20511187205864
190,SGDUSD=X,JPYUSD=X,0.006433881614168743,0.0015783019789050723,3.0230955759134504,6.597789254407378
133,GBPUSD=X,INRUSD=X,0.005787835696370187,0.25497909646895656,2.283516445577564,8.800673889474792
39,NOKUSD=X,INRUSD=X,0.005643004910850356,0.6942255483132201,0.1873607454159075,13.393491109343596
121,DKKUSD=X,INRUSD=X,0.004851230115026344,0.3133148998728257,0.2367288571612551,7.683463404561967
45,THBUSD=X,INRUSD=X,0.0029004855194832355,0.6811189985453937,0.03919849019784547,6.737595169549149
143,TWDUSD=X,ZARUSD=X,0.0028577389856095647,0.19851944849099112,0.03522480811581835,0.5059723615104097
159,BRLUSD=X,LKRUSD=X,0.0014616772114768918,0.12018163661063364,0.30442966141979005,1.3287647316700937
182,BRLUSD=X,KRWUSD=X,0.000735693629221665,0.05020832375869677,1.885540506536331,14.143259331772532
38,LKRUSD=X,KRWUSD=X,0.000653209724024134,0.7025464259847696,0.021655821824650628,22.439875057567594
14,JPYUSD=X,KRWUSD=X,0.0004136880778617373,0.7872088565145181,0.017024640369392295,16.80248900528805
10,SEKUSD=X,KRWUSD=X,0.00026092745996903876,0.8168193960807564,0.15363794298350672,11.42240178140199
46,INRUSD=X,KRWUSD=X,6.312710987408689e-05,0.6797131229972472,0.014310705460932837,2.08983993186226
22,THBUSD=X,KRWUSD=X,6.274347170215919e-05,0.7606480431463555,0.03311139891965727,2.402795130196366
134,CADUSD=X,KRWUSD=X,4.5722060867947286e-05,0.25357477425311825,0.8062357129997123,0.9915395285483892
53,GBPUSD=X,KRWUSD=X,1.2767415367793771e-05,0.6226207000334065,1.3037696401086292,0.3893958685858892
150,SGDUSD=X,KRWUSD=X,-0.0002512047196068502,0.14359101662022467,0.5632930641139242,-5.085862054699805
130,AUDUSD=X,JPYUSD=X,-0.0006354377559193471,0.27793144721192686,0.6509060167250141,-0.7662423988750799
0,EURUSD=X,DKKUSD=X,-0.0008535848831897064,0.998955266378409,1.1099615996664391,-3.4574133645844376
44,SEKUSD=X,JPYUSD=X,-0.0009421168126320829,0.6817758067432409,0.09462145048045743,-1.7112778779188764
184,CADUSD=X,LKRUSD=X,-0.0018732020674281195,0.035384266107348905,0.5388807049025822,-1.626299712515467
16,MYRUSD=X,INRUSD=X,-0.0019313963397256575,0.779606623893542,0.2040123160457683,-5.396778009844434
70,THBUSD=X,SEKUSD=X,-0.002235969670453253,0.5325405802564422,0.02996031262840744,-0.3645337616638424
90,NZDUSD=X,JPYUSD=X,-0.002279420039190218,0.455444894461836,0.5154765653195637,-3.1650882527887467
129,TWDUSD=X,JPYUSD=X,-0.0024906049325155184,0.2780088450222782,0.026003906333598652,-3.0034560721570998
95,ZARUSD=X,LKRUSD=X,-0.003219988997506324,0.43968880925746245,0.03676753805939214,-3.6680298988532787
149,AUDUSD=X,LKRUSD=X,-0.00339168704586497,0.14482662621118159,0.40012594102497256,-3.127388356793867
2,JPYUSD=X,LKRUSD=X,-0.0050965317345331865,0.8887971475220378,0.004000407940007198,-13.031964748190068
